id,name,installed_capacity_MW,pumping_MW,type,country_code,lat,lon,dam_height_m,volume_Mm3,storage_capacity_MWh,avg_annual_generation_GWh,pypsa_id,GEO,WRI
H1344,Orava Orava Hydroelectric Power Plant Slovakia - Orava Hydroelectric Power Plant Slovakia,21.75,,HROR,SK,49.37534,19.55849,,,,,1824,42652,
H1346,Tuilieres Tuilieres Hydroelectric Power Station France - Tuilieres Hydroelectric Power Station France,21.63435685,,HROR,FR,44.845,0.633,,,,,3212,39755,
H1347,Straubing,21.5,,HROR,DE,48.89659,12.55752,,,,,2612,,
H135,PSW Hohenwarte II PSS A,320,,HPHS,DE,50.615002,11.492,304,3,2027,,,,
H1350,Saint cassien Saint Cassien Hydroelectric Power Station France - Saint Cassien Hydroelectric Power Station France,21.42356688,,HDAM,FR,43.602,6.841,,,,,3046,39821,
H1351,Hällforsens,22,,HDAM,SE,64.58337,18.69227,,,,,2845,,
H1352,Pirin HPP,21.2,,HDAM,BG,41.5745,23.5626,456,0.06,,,,,
H1355,Näs Nas Hydroelectric Power Plant Sweden - Nas Hydroelectric Power Plant Sweden,21.34713376,,HDAM,SE,60.1749285,16.476273,,,,,778,46256,
H1356,Quincinetto,21,,HROR,IT,45.56296,7.807315,,,,,3714,,
H1357,Rio pusteria,21,,HROR,IT,46.8333333,11.6166667,,,,,3729,,
H1358,Fisching-KW,21,,HDAM,AT,47.18,14.764,,,,,,,
H1359,St Fillans SFIL-1,21,,HROR,UK,56.401001,-4.122,,,,75,,,
H136,Kastraki KASTRAKI - Kastraki Hydroelectric Power Plant Greece,320,,HDAM,EL,38.7415,21.3642,95.7,950,25000,930,2939,42793,
H1361,BELESII,21,,HDAM,ES,42.629002,-7.712,,,,,,,
H1362,HE Moste 1 - Moste Hydroelectric Power Plant Slovenia,21,,HDAM,SI,46.417,14.133,60,5.464,,56,2398,44877,
H1363,Leppikoski,21,,HROR,FI,64.33,27.8,,,,,,,
H1364,Vajukoski,21,,HROR,FI,67.691433,26.802883,,,,81,,,
H1365,Colibita,21,,HDAM,RO,47.165417,24.877917,92,75.22,,41,,,
H1366,Spina isola,20.9,,HDAM,CH,46.43113436,9.206999104,45,6.5,,,2599,,
H1367,Bürglen unterschächen,20.8,,HROR,CH,46.87652924,8.663371668,,,,,2054,,
H1368,Calancasca,20.8,,HROR,CH,46.23920795,9.118549621,,,,,4306,,
H1369,Lanau Lanau Hydroelectric Power Station France - Lanau Hydroelectric Power Station France,20.73248408,,HDAM,FR,44.891,3.003,,,,,3110,39744,
H137,Ritsem Ritsem G1 - Ritsem Hydro Power Station Sweden,304,,HDAM,SE,67.729796,17.48494,173,600,,491,8,46077,
H1370,Tresna Tresna Hydroelectric Power Plant Poland - Tresna Hydroelectric Power Plant Poland,21,,HDAM,PL,49.7473,19.2075,,,,,3211,42475,
H1371,Wernisberg,20.4,,HROR,CH,46.99621882,8.651244257,,,,,2715,,
H1372,Haminan höyrykattilalaitos,20.3,,HROR,DE,51.520132,14.337383,,,,,4944,,
H1373,Ponte de Jugais,20.3,,HROR,PT,40.23,-7.42,,,,57,,,
H1374,Brillanne & Brillanne I & II Hydroelectric Power Station France - Brillanne I & II Hydroelectric Power Station France,20.28220955,,HROR,FR,43.921,5.925,,,,,3037,39707,
H1375,Bittenbrunn,20.2,,HROR,DE,48.734459,11.14382,,,,,2024,,
H1376,Wynau,20.2,,HROR,CH,47.25625228,7.786083656,,,,,2727,,
H1380,Klaus,20,,HROR,AT,47.82845,14.157217,,,,,433,,
H1381,Lebring,20,,HROR,AT,46.857847,15.5373,,,,,444,,
H1382,Matfors,21,,HDAM,SE,62.291942,17.381985,,,,,808,,
H1383,Volgsjöfors,20,,HDAM,SE,64.307632,15.71261,,,,,826,,
H1384,Plave HE Plave - Plave II Hydroelectric Poqwer Plant Slovenia,20,,HROR,SI,46.05256,13.60608,,,,,1782,44872,
H1385,Hemfurth,20,,HDAM,DE,51.167139,9.046832,45,199.3,,,2214,,
H1386,Lehmen,20,,HROR,DE,50.274724,7.458957,,,,,2327,,
H1387,Bremgarten zufikon,20,,HROR,CH,47.34365443,8.345628025,,,,,2046,,
H1388,Wintrich,20,,HROR,DE,49.879784,6.948762,,,,,2722,,
H1389,Alfta,20,,HROR,SE,61.341075,16.006847,,,,,2827,,
H139,Sfikia SFIKIA - Sfikia Hydroelectric Power Plant Greece,315,315,HPHS,EL,40.3856573,22.2113777,81,18,1320,,2893,42802,
H1390,Battiggio,20,,HROR,IT,45.983974,8.146114,,,,72,3287,,
H1391,Chievolis,20,,HDAM,IT,46.3111111,12.7891667,,,,,3358,,
H1392,Farfa,20,,HROR,IT,42.208926,12.729178,,,,,3404,,
H1393,Goglio devero,20,,HROR,IT,46.260882,8.320213,,,,,3449,,
H1394,Malga ciapela,20,,HDAM,IT,46.43392,11.976792,,,,,3562,,
H1395,Nazzano,20,,HROR,IT,42.231126,12.596275,,,,,3616,,
H1396,Sagittario nuovo,20,,HROR,IT,41.99383,13.803905,,,,,3747,,
H1397,Sarentino,20,,HROR,IT,46.64352,11.355774,,,,,3758,,
H1398,Tirso,20,,HROR,IT,40.032651,8.896729,,,,,3819,,
H1399,Venamartello,20,,HROR,IT,42.769944,13.410185,,,,,3863,,
H14,Presenzano UP_PRESENZAN_1 - Presenzano (Domenico Cimarosa) Pumped Storage Power Plant Italy,1005,1029,HPHS,IT,41.380906,14.09146,495,6.23,15075,,18,45430,WRI1002929
H140,VISEGRAD - Visegrad Hydroelectric Power Plant Bosnia and Herzegovina,315,,HDAM,BA,43.759998,19.289,79.5,161,,1120,,44765,
H1400,Lebring-KW,20,,HDAM,AT,46.858002,15.538,,,,,,,
H1401,Aigas,20,,HROR,UK,57.382,-4.881,,,,60,,,
H1402,Ceannacroc,20,,HROR,UK,57.155998,-4.936,,,,87,,,
H1403,Invergarry,20,,HROR,UK,57.077999,-4.781,,,,78,,,
H1404,Kilmorack,20,,HROR,UK,57.382,-4.881,,,,58,,,
H1407,Luzzone,20,,HROR,CH,46.56525608,8.96078316,,,,,2357,,
H1408,DOMENO,20,,HDAM,ES,39.738998,-0.929,,,,,,,
H1409,LAS PICADAS 1,20,,HDAM,ES,40.333,-4.249,,,,,,,
H141,Puente Bibey,285,68,HPHS,ES,42.263793,-7.387519,361,,,,226,,
H1410,Ingolstadt,19.8,,HROR,DE,48.750317,11.412153,,,,,2236,,
H1411,Debe Debe Hydroelectric Power Plant Poland - Debe Hydroelectric Power Plant Poland,20,,HDAM,PL,52.4883,20.9236,,,,,3061,42471,
H1413,Perach,19.4,,HROR,DE,48.0261021,12.789632,,,,,2455,,
H1415,Prem,19.2,,HROR,DE,47.692726,10.797592,,,,,2485,,
H1416,Raven Hydroelectric Power Plant Macedonia - Raven Hydroelectric Power Plant Macedonia,19.2,,HROR,MK,41.7791,20.8563,,,,,,42709,
H1417,Cassarate franscinone,19.14,,HROR,CH,46.04799263,8.97466556,,,,,4362,,
H1418,Culligran,19.1,,HROR,UK,57.382,-4.881,60,3,,59,,,
H1419,Reichenau,19.06,,HROR,CH,46.83773371,9.447331014,,,,,2512,,
H1420,Monceaux La Virolle Hydroelectric Power Station France - Monceaux La Virolle Hydroelectric Power Station France,19,,HDAM,FR,45.576,1.84,32,20.5,,,,39753,
H1422,Gössendorf,19,,HROR,AT,46.997841,15.467519,,,,,651,,
H1423,Kalsdorf,19,,HROR,AT,46.944097,15.50363,,,,,663,,
H1424,Acceglio,19,,HROR,IT,44.474627,6.990918,,,,,3243,,
H1425,Moline,19,,HDAM,IT,46.058609,11.786595,,,,,3594,,
H1426,Pizzone,19,,HDAM,IT,41.672525,14.036415,,,,,3689,,
H1427,"S,silvestro",19,,HROR,IT,46.149311,11.789193,,,,,3770,,
H1428,Storo,19,,HROR,IT,45.84924956,10.58022022,,,,,3799,,
H1429,EDESSAIOS,19,,HROR,EL,40.804001,22.056684,,,,,,,
H143,Perucica Hydroelectric Power Plant Montenegro - Perucica Hydroelectric Power Plant Montenegro,307,,HROR,ME,42.6718,18.9951,,,,1300,,42687,
H1430,He Plave 1 - Plave I Hydroelectric Poqwer Plant Slovenia,19,,HDAM,SI,46.042,13.598,,0.96,,,,44870,
H1431,Kandergrund,19,,HROR,CH,46.5427474,7.6594866,,,,,2266,,
H1432,PEAREII,19,,HDAM,ES,42.465,-7.724,,,,,,,
H1433,Bertoldsheim,18.9,,HROR,DE,48.735932,11.020923,,,,,2014,,
H1434,Ladce,18.9,,HROR,SK,49.04976,18.29794,,,,,5201,,
H1435,Trier,18.8,,HROR,DE,49.728029,6.624451,,,,,2657,,
H1436,Parki,20,,HDAM,SE,66.830913,18.97472,28,460,,86,812,,
H1437,Spiez,18.66,,HROR,CH,46.69665104,7.664951472,,,,,2598,,
H1438,Mossford,18.6,,HROR,UK,57.6166,-4.76,,,,121,,,
H1439,Enkirch,18.4,,HROR,DE,49.97667,7.127777,,,,,2135,,
H144,Foyers falls Foyers FOYE-1 - Foyers Pumped Storage Power Station Scotland UK,305,300,HPHS,UK,57.2553615,-4.493152,,13.6,6300,226,25,3219,
H1440,Oelberg,18.3,,HDAM,CH,46.80170595,7.167340809,,,,,2360,,
H1441,Truel Truel Hydroelectric Power Station France - Truel Hydroelectric Power Station France,18.25398859,,HROR,FR,44.06,2.769,,,,,3164,39724,
H1442,Wallnerau salzachstufe Wallnerau-Salzachstufe-KW - Wallnerau Salzach Hydroelectric Power Plant Austria,18,,HROR,AT,47.3158445,13.1409435,,,,38.3,191,45560,
H1443,Laufnitzdorf,18,,HROR,AT,47.292402,15.323134,,,,,443,,
H1444,Erlenbach,18,,HROR,CH,46.65688216,7.548118912,,,,,2139,,
H1445,Yngeredsfors,18.8,,HDAM,SE,57.0531,12.778165,,,,,2888,,
H1446,Rosone - Bardonetto,18,,HROR,IT,45.422855,7.596213,,,,70,3283,,
H1447,Braulio,18,,HROR,IT,46.468407,10.372055,,,,,3309,,
H1448,"S,leonardo",18,,HROR,IT,46.1202778,13.5355556,,,,,3540,,
H1449,Levane,18,,HROR,IT,43.552147,11.588433,,,,,3541,,
H1450,Orte,18,,HROR,IT,42.517131,12.523069,,,,,3571,,
H1451,Perreres,18,,HDAM,IT,45.876066,7.624305,666,11,,,3675,,
H1452,Pontecorvo,18,,HROR,IT,41.382916,13.686911,,,,,3703,,
H1453,Rio riva,18,,HROR,IT,46.920333,11.954483,,,,,3730,,
H1454,Tanagro,18,,HROR,IT,40.543612,15.44886,,,,,3813,,
H1455,Orrin,18,,HDAM,UK,57.775002,-4.955,45,59.466,,80,,,
H1456,Quoich,18,,HROR,UK,57.155998,-4.936,,,,87,,,
H1459,Sanetsch,18,,HDAM,CH,46.37642613,7.277999853,42,2.6,,,2555,,
H1460,PORTO,18,,HDAM,ES,42.161999,-6.921,,,,,,,
